volcano,start,stop,duration,confirmed,vei,landform,type,summit_ft,underwater
Mauna Kea,NA,NA,NA,NA,NA,Shield,Shield,13796,FALSE
Davis Lake,NA,NA,NA,NA,NA,Cluster,Volcanic field,7096,FALSE
Crater Lake,NA,NA,NA,NA,NA,Caldera,Caldera,8159,FALSE
Hell's Half Acre,NA,NA,NA,NA,NA,Shield,Shield,5351,FALSE
Carrizozo,NA,NA,NA,NA,NA,Minor,Pyroclastic cone,5679,FALSE
Kaguyak,NA,NA,NA,NA,NA,Caldera,Lava dome,2956,FALSE
Diamond Craters,NA,NA,NA,NA,NA,Cluster,Volcanic field,4708,FALSE
West Crater,NA,NA,NA,NA,NA,Cluster,Volcanic field,4360,FALSE
Bachelor,NA,NA,NA,NA,NA,Composite,Stratovolcano,9065,FALSE
Indian Heaven,NA,NA,NA,NA,NA,Cluster,Volcanic field,5925,FALSE
Roundtop,NA,NA,NA,NA,NA,Composite,Stratovolcano,6138,FALSE
Black Butte Crater Lava Field,NA,NA,NA,NA,NA,Shield,Shield,4849,FALSE
Red Hill,NA,NA,NA,NA,NA,Cluster,Volcanic field,7546,FALSE
Golden Trout Creek,NA,NA,NA,NA,NA,Cluster,Volcanic field,9469,FALSE
