volcano,start,start_error,start_year,stop,stop_error,stop_year,duration,confirmed,vei
Aniakchak,NA,0,1942,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1941-03-28,0,1941,NA,0,NA,NA,TRUE,1
Mauna Loa,1940-04-07,0,1940,1940-08-18,0,1940,133,TRUE,0
Veniaminof,1939-11-15,15,1939,NA,0,NA,NA,TRUE,2
Veniaminof,1939-05-23,0,1939,1939-06-26,0,1939,34,TRUE,3
Farallon de Pájaros,NA,0,1939,NA,0,NA,NA,TRUE,1
Makushin,1938-10-15,16,1938,NA,0,NA,NA,TRUE,2
Okmok,NA,0,1938,NA,0,NA,NA,TRUE,NA
Cleveland,NA,0,1938,NA,0,NA,NA,TRUE,NA
Yunaska,1937-11-03,0,1937,1937-11-04,0,1937,1,TRUE,3
Mageik,1936-07-04,0,1936,1936-07-05,0,1936,1,FALSE,NA
Farallon de Pájaros,1936-04-15,45,1936,NA,0,NA,NA,TRUE,1
Pavlof,NA,0,1936,1948-05-15,16,1948,NA,TRUE,3
Okmok,NA,0,1936,NA,0,NA,NA,FALSE,NA
Mauna Loa,1935-11-21,0,1935,1936-01-02,0,1936,42,TRUE,0
Augustine,1935-03-13,0,1935,1935-08-18,0,1935,158,TRUE,3
Kīlauea,1934-09-06,0,1934,1934-10-08,0,1934,32,TRUE,0
Ahyi,1934-07-15,45,1934,NA,0,NA,NA,TRUE,1
Farallon de Pájaros,NA,0,1934,NA,0,NA,NA,FALSE,NA
Mauna Loa,1933-12-02,0,1933,1933-12-18,0,1933,16,TRUE,0
